APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Rahata,cucumber,Rahata:cucumber,2016-01-01,1300.0,1,1353.696015341379
Rahata,cucumber,Rahata:cucumber,2016-02-01,2055.0,1,2139.8810088665646
Rahata,cucumber,Rahata:cucumber,2016-03-01,1750.0,1,1822.2830975749334
Rahata,cucumber,Rahata:cucumber,2016-04-01,1733.0,2,1674.624988933545
Rahata,cucumber,Rahata:cucumber,2016-05-01,2146.0,2,2073.713344634384
Rahata,cucumber,Rahata:cucumber,2016-06-01,2658.0,2,2568.466947827676
Rahata,cucumber,Rahata:cucumber,2016-07-01,750.0,3,839.3285808117018
Rahata,cucumber,Rahata:cucumber,2016-08-01,477.0,3,533.8129773962423
Rahata,cucumber,Rahata:cucumber,2016-09-01,570.0,3,637.8897214168934
Rahata,cucumber,Rahata:cucumber,2016-10-01,600.0,4,558.1395036043951
Rahata,cucumber,Rahata:cucumber,2016-11-01,775.0,4,720.9301921556771
Rahata,onion,Rahata:onion,2014-09-01,1405.0,3,1361.6666666666667
Rahata,onion,Rahata:onion,2014-10-01,1338.0,4,1405.8125
Rahata,onion,Rahata:onion,2014-11-01,1440.0,4,1507.8125
Rahata,onion,Rahata:onion,2014-12-01,1321.0,4,1388.8125
Rahata,onion,Rahata:onion,2015-01-01,1180.0,1,1261.3333333333333
Rahata,onion,Rahata:onion,2015-02-01,1409.0,1,1490.3333333333333
Rahata,onion,Rahata:onion,2015-03-01,1056.0,1,1137.3333333333333
Rahata,onion,Rahata:onion,2015-04-01,906.0,2,840.0
Rahata,onion,Rahata:onion,2015-05-01,1277.0,2,1211.0
Rahata,onion,Rahata:onion,2015-06-01,1700.0,2,1634.0
Rahata,onion,Rahata:onion,2015-07-01,2050.0,3,2006.6666666666667
Rahata,onion,Rahata:onion,2015-08-01,2482.0,3,2438.6666666666665
Rahata,onion,Rahata:onion,2015-09-01,2482.0,3,2438.6666666666665
Rahata,onion,Rahata:onion,2015-10-01,2263.0,4,2330.8125
Rahata,onion,Rahata:onion,2015-11-01,1682.0,4,1749.8125
Rahata,onion,Rahata:onion,2015-12-01,1342.0,4,1409.8125
Rahata,onion,Rahata:onion,2016-01-01,1223.0,1,1304.3333333333333
Rahata,onion,Rahata:onion,2016-02-01,875.0,1,956.3333333333334
Rahata,onion,Rahata:onion,2016-03-01,631.0,1,712.3333333333334
Rahata,onion,Rahata:onion,2016-04-01,619.0,2,553.0
Rahata,onion,Rahata:onion,2016-05-01,679.0,2,613.0
Rahata,onion,Rahata:onion,2016-06-01,779.0,2,713.0
Rahata,onion,Rahata:onion,2016-07-01,760.0,3,716.6666666666666
Rahata,onion,Rahata:onion,2016-08-01,621.0,3,577.6666666666666
Rahata,onion,Rahata:onion,2016-09-01,517.0,3,473.6666666666667
Rahata,onion,Rahata:onion,2016-10-01,610.0,4,677.8125
Rahata,onion,Rahata:onion,2016-11-01,656.0,4,723.8125
Rahata,bitter gourd,Rahata:bitter gourd,2014-09-01,2400.0,3,2975.0338933999387
Rahata,bitter gourd,Rahata:bitter gourd,2014-10-01,1375.0,4,1306.2391215625983
Rahata,bitter gourd,Rahata:bitter gourd,2014-11-01,2355.0,4,2237.2313682035774
Rahata,bitter gourd,Rahata:bitter gourd,2014-12-01,2775.0,4,2636.2280453354256
Rahata,bitter gourd,Rahata:bitter gourd,2015-01-01,2000.0,1,1916.4299341538988
Rahata,bitter gourd,Rahata:bitter gourd,2015-02-01,3000.0,1,2874.644901230848
Rahata,bitter gourd,Rahata:bitter gourd,2015-03-01,3000.0,1,2874.644901230848
Rahata,bitter gourd,Rahata:bitter gourd,2015-04-01,2671.0,2,2609.4780055227707
Rahata,bitter gourd,Rahata:bitter gourd,2015-05-01,2375.0,2,2320.295867883407
Rahata,bitter gourd,Rahata:bitter gourd,2015-06-01,2425.0,2,2369.1442019441106
Rahata,bitter gourd,Rahata:bitter gourd,2015-07-01,1963.0,3,2433.3298053100334
Rahata,bitter gourd,Rahata:bitter gourd,2015-08-01,1764.0,3,2186.649911648955
Rahata,bitter gourd,Rahata:bitter gourd,2015-09-01,1191.0,3,1476.3605695997196
Rahata,bitter gourd,Rahata:bitter gourd,2015-10-01,1525.0,4,1448.7379348239726
Rahata,bitter gourd,Rahata:bitter gourd,2015-11-01,1533.0,4,1456.3378715312458
Rahata,bitter gourd,Rahata:bitter gourd,2015-12-01,1950.0,4,1852.4845723978665
Rahata,bitter gourd,Rahata:bitter gourd,2016-01-01,2250.0,1,2155.983675923136
Rahata,bitter gourd,Rahata:bitter gourd,2016-03-01,2800.0,1,2683.0019078154583
Rahata,bitter gourd,Rahata:bitter gourd,2016-04-01,4644.0,2,4537.033267558123
Rahata,bitter gourd,Rahata:bitter gourd,2016-05-01,3827.0,2,3738.851489006231
Rahata,bitter gourd,Rahata:bitter gourd,2016-06-01,4644.0,2,4537.033267558123
Rahata,bitter gourd,Rahata:bitter gourd,2016-07-01,4285.0,3,5311.675097174474
Rahata,bitter gourd,Rahata:bitter gourd,2016-08-01,1642.0,3,2035.4190220677915
Rahata,bitter gourd,Rahata:bitter gourd,2016-09-01,844.0,3,1046.2202525123118
Rahata,bitter gourd,Rahata:bitter gourd,2016-10-01,800.0,4,759.9936707273299
Rahata,bitter gourd,Rahata:bitter gourd,2016-11-01,1038.0,4,986.0917877687106
Rahata,garlic,Rahata:garlic,2014-09-01,3277.0,3,3083.75
Rahata,garlic,Rahata:garlic,2014-10-01,3144.0,4,2927.375
Rahata,garlic,Rahata:garlic,2014-11-01,2636.0,4,2419.375
Rahata,garlic,Rahata:garlic,2014-12-01,2642.0,4,2425.375
Rahata,garlic,Rahata:garlic,2015-01-01,4045.0,1,4437.833333333333
Rahata,garlic,Rahata:garlic,2015-02-01,4158.0,1,4550.833333333333
Rahata,garlic,Rahata:garlic,2015-03-01,3069.0,1,3461.8333333333335
Rahata,garlic,Rahata:garlic,2015-04-01,2915.0,2,2542.5
Rahata,garlic,Rahata:garlic,2015-05-01,3188.0,2,2815.5
Rahata,garlic,Rahata:garlic,2015-06-01,4278.0,2,3905.5
Rahata,garlic,Rahata:garlic,2015-07-01,5250.0,3,5056.75
Rahata,garlic,Rahata:garlic,2015-08-01,5773.0,3,5579.75
Rahata,garlic,Rahata:garlic,2015-09-01,5231.0,3,5037.75
Rahata,garlic,Rahata:garlic,2015-10-01,5444.0,4,5227.375
Rahata,garlic,Rahata:garlic,2015-11-01,6860.0,4,6643.375
Rahata,garlic,Rahata:garlic,2015-12-01,9464.0,4,9247.375
Rahata,garlic,Rahata:garlic,2016-01-01,5545.0,1,5937.833333333333
Rahata,garlic,Rahata:garlic,2016-02-01,4583.0,1,4975.833333333333
Rahata,garlic,Rahata:garlic,2016-03-01,4323.0,1,4715.833333333333
Rahata,garlic,Rahata:garlic,2016-04-01,4767.0,2,4394.5
Rahata,garlic,Rahata:garlic,2016-05-01,6964.0,2,6591.5
Rahata,garlic,Rahata:garlic,2016-06-01,7584.0,2,7211.5
Rahata,garlic,Rahata:garlic,2016-07-01,8000.0,3,7806.75
Rahata,garlic,Rahata:garlic,2016-08-01,9270.0,3,9076.75
